solved,filename,execution_time,backpropagatio
True,easy1.txt,0.056780099868774414,0
True,easy2.txt,0.031241893768310547,0
True,easy3.txt,0.031243085861206055,0
True,easy4.txt,0.025236845016479492,0
True,easy5.txt,0.01571178436279297,0
True,medium1.txt,0.10249662399291992,164
True,medium2.txt,0.04726123809814453,32
True,medium3.txt,0.11896586418151855,204
True,medium4.txt,0.07495570182800293,45
True,medium5.txt,0.25664401054382324,123
True,normal1.txt,0.04084372520446777,0
True,normal2.txt,0.07754659652709961,0
True,normal3.txt,0.05576276779174805,34
True,normal4.txt,0.024758100509643555,25
True,normal5.txt,0.03173255920410156,0
True,hard1.txt,0.11733198165893555,125
True,hard2.txt,0.18077373504638672,174
True,hard3.txt,0.08524274826049805,21
True,hard4.txt,0.04422807693481445,0
True,hard5.txt,0.05160951614379883,0
